combo_id,window,warmup_label,eval_label,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,failed,error,samples,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_pos_36,edge_neg_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort
wind036_pv036_esd025,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.025,0,,900.0,0.026545041621250653,0.04686865480259583,0.05342945230330371,0.059107070255315364,0.26666666666666666,0.022222222222222223,0.21444444444444444,0.008888888888888889,0.20555555555555555,0.19666666666666666,17.23244648382512,5.879121921855035,61.39924043046491
wind036_pv036_esd030,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.03,0,,900.0,0.017147310383958232,0.033330074785279495,0.03737083145462017,0.044854260323514694,0.01888888888888889,0.0,0.06444444444444444,0.05333333333333334,0.011111111111111112,0.042222222222222223,0.8753202238586364,2.0934232022981907,31.828059089920185
wind036_pv036_esd030,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.03,0,,900.0,0.02512288761946348,0.05042532026938229,0.05783112249132924,0.0650350530683208,0.2911111111111111,0.05555555555555555,0.15222222222222223,0.0077777777777777776,0.14444444444444443,0.13666666666666666,12.565583074821937,11.57886774020627,59.568059349497545
wind036_pv036_esd030,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.03,0,,900.0,0.034513912819289685,0.05081009322101504,0.057345792171968536,0.05990345849240519,0.5544444444444444,0.058888888888888886,0.27111111111111114,0.07888888888888888,0.1922222222222222,0.11333333333333333,21.796702536851186,34.51600549095359,88.08564363560717
wind036_pv036_esd030,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.03,0,,900.0,0.03138462871896211,0.04858548096609416,0.054873440014779847,0.058141214174973754,0.43777777777777777,0.03777777777777778,0.2811111111111111,0.1288888888888889,0.15222222222222223,0.023333333333333345,16.087153550144937,22.986963919754224,77.21631209175993
wind036_pv036_esd030,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.03,0,,900.0,0.027277068125860802,0.047969259491996596,0.054417441569258734,0.06020752431359355,0.3088888888888889,0.03,0.21555555555555556,0.011111111111111112,0.20444444444444446,0.19333333333333336,11.954947163711442,6.729327513002735,64.23927819692113
wind036_pv036_esd036,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.036,0,,900.0,0.01710275402662511,0.033652215017973656,0.03794021806050134,0.04617899856837582,0.03,0.0,0.07222222222222222,0.058888888888888886,0.013333333333333334,0.04555555555555555,0.11374879075654626,2.11008122917288,31.905050852472243
wind036_pv036_esd036,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.036,0,,900.0,0.02567536367320221,0.0518385003004117,0.05980881877117238,0.06641027663601085,0.31444444444444447,0.06444444444444444,0.15888888888888889,0.014444444444444444,0.14444444444444443,0.12999999999999998,7.789017867943156,12.787871267693935,61.72601947545117
wind036_pv036_esd036,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.036,0,,900.0,0.035299533032343115,0.05193622540716058,0.058741768006826,0.06169947040767454,0.5955555555555555,0.07888888888888888,0.2544444444444444,0.07777777777777778,0.17666666666666667,0.09888888888888889,12.702750832557294,39.14335430031676,91.2848105377305
wind036_pv036_esd036,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.036,0,,900.0,0.03209193119650035,0.049379838041205715,0.05572081841524796,0.05997802907262262,0.47888888888888886,0.04,0.2677777777777778,0.12,0.14777777777777779,0.02777777777777779,8.400408378707818,26.454045751935652,79.96833919002057
wind036_pv036_esd036,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.036,0,,900.0,0.027956065188622866,0.04932547613172278,0.056113843192355704,0.06174406401003196,0.35444444444444445,0.04111111111111111,0.19111111111111112,0.01,0.1811111111111111,0.1711111111111111,6.733134975030846,7.852286276595283,66.89361023173788
